"","x","y"
"mage6.3231.7.186.186.1",0.0952299999999993,0.039589999999999
"mage6.3231.7.186.186.2",0.0117699999999999,0.0288899999999996
"mage6.3231.7.186.186.3",0.0117699999999999,0.0213999999999988
"mage6.3231.7.186.186.4",0.0203299999999998,0.0213999999999988
"mage6.3231.7.186.186.5",0,0.039589999999999
"mage6.3231.7.186.186.6",0.00641999999999948,0
"mage6.3231.7.186.186.7",0.00855999999999982,0.00641999999999872
"mage7.121.10.19.226.1",0.11021,0.13482
"mage7.121.10.19.226.2",0.0481499999999995,0.21293
"mage7.121.10.19.226.3",0.10914,0.11449
"mage7.121.10.19.226.4",0.0117699999999999,0.180830000000001
"mage7.121.10.19.226.5",0,0.0781100000000004
"mage7.121.10.19.226.6",0.0331699999999995,0.10914
"mage7.121.10.19.226.7",0.00641999999999948,0.0642000000000001
"mage7.121.10.19.226.8",0.00213999999999957,0
"mage7.121.10.19.226.9",0.0246099999999997,0.0214000000000003
"mage7.121.10.19.226.10",0.0492200000000001,0.07276
"mage7.142.7.22.229.1",0.1177,0.00427999999999991
"mage7.142.7.22.229.2",0.0941599999999995,0.0599200000000002
"mage7.142.7.22.229.3",0.0920199999999999,0.0663400000000005
"mage7.142.7.22.229.4",0.0706199999999996,0
"mage7.142.7.22.229.5",0.0203299999999998,0.0631300000000004
"mage7.142.7.22.229.6",0.01926,0.10914
"mage7.142.7.22.229.7",0,0.14124
"mage7.314.11.40.247.1",0.22042,0
"mage7.314.11.40.247.2",0.12091,0.0278199999999998
"mage7.314.11.40.247.3",0.13268,0.0256800000000002
"mage7.314.11.40.247.4",0.18939,0.0310299999999999
"mage7.314.11.40.247.5",0.107,0.0256800000000002
"mage7.314.11.40.247.6",0.0278199999999998,0.0310299999999999
"mage7.314.11.40.247.7",0.0181900000000002,0.11663
"mage7.314.11.40.247.8",0.0353099999999998,0.0053499999999997
"mage7.314.11.40.247.9",0.0866700000000002,0.0417300000000001
"mage7.314.11.40.247.10",0.00963000000000036,0.0288899999999996
"mage7.314.11.40.247.11",0,0.0374500000000001
"mage7.1380.9.51.258.1",0,0
"mage7.1380.9.51.258.2",0.0898800000000004,0.0256800000000002
"mage7.1380.9.51.258.3",0.00749000000000003,0.00963000000000036
"mage7.1380.9.51.258.4",0.08774,0.0631300000000004
"mage7.1380.9.51.258.5",0.127330000000001,0.04601
"mage7.1380.9.51.258.6",0.0791800000000002,0.0663399999999997
"mage7.1380.9.51.258.7",0.0813200000000005,0.0706200000000004
"mage7.1380.9.51.258.8",0.0674100000000003,0.14017
"mage7.1380.9.51.258.9",0.08025,0.11663
"mage7.1434.8.57.264.1",0.0545699999999998,0.0663399999999997
"mage7.1434.8.57.264.2",0,0.0438700000000004
"mage7.1434.8.57.264.3",0.0642000000000001,0.0524300000000002
"mage7.1434.8.57.264.4",0.0524300000000002,0.0749000000000003
"mage7.1434.8.57.264.5",0.0920199999999999,0.0353099999999998
"mage7.1434.8.57.264.6",0.18939,0.07276
"mage7.1434.8.57.264.7",0.15194,0
"mage7.1434.8.57.264.8",0.10272,0.0438700000000004
"mage7.1501.9.64.271.1",0.0823900000000003,0
"mage7.1501.9.64.271.2",0,0.0716900000000002
"mage7.1501.9.64.271.3",0.0470799999999998,0.0652699999999999
"mage7.1501.9.64.271.4",0.0952300000000001,0.107
"mage7.1501.9.64.271.5",0.0599200000000002,0.0706200000000004
"mage7.1501.9.64.271.6",0.14873,0.18725
"mage7.1501.9.64.271.7",0.04601,0.176550000000001
"mage7.1501.9.64.271.8",0.0556400000000003,0.16478
"mage7.1501.9.64.271.9",0.0684800000000001,0.10593
"mage7.1747.9.89.296.1",0.0834600000000001,0
"mage7.1747.9.89.296.2",0.16906,0.10058
"mage7.1747.9.89.296.3",0.19153,0.193669999999999
"mage7.1747.9.89.296.4",0.22149,0.19688
"mage7.1747.9.89.296.5",0.20651,0.0930899999999997
"mage7.1747.9.89.296.6",0.21293,0.13482
"mage7.1747.9.89.296.7",0.22042,0.13482
"mage7.1747.9.89.296.8",0.0567100000000001,0.0941599999999995
"mage7.1747.9.89.296.9",0,0.20544
"mage7.2127.9.103.310.1",0.00749000000000003,0.19153
"mage7.2127.9.103.310.2",0.00535000000000046,0.0716900000000002
"mage7.2127.9.103.310.3",0.0684800000000001,0.17441
"mage7.2127.9.103.310.4",0.11235,0.08774
"mage7.2127.9.103.310.5",0.0181900000000002,0.0706200000000004
"mage7.2127.9.103.310.6",0.100580000000001,0
"mage7.2127.9.103.310.7",0.111280000000001,0.0941600000000003
"mage7.2127.9.103.310.8",0,0.08025
"mage7.2127.9.103.310.9",0.0941600000000003,0.16692
