"","x","y"
"mage6.1.4.1.1.1",0,0.21721
"mage6.1.4.1.1.2",0.0759700000000001,0
"mage6.1.4.1.1.3",0.0781099999999997,0.1177
"mage6.1.4.1.1.4",0.0620599999999998,0.188320000000001
"mage6.2.2.2.2.1",0,0
"mage6.2.2.2.2.2",0.0556400000000003,0.14338
"mage6.4.9.3.3.1",0.06099,0
"mage6.4.9.3.3.2",0,0.0909500000000002
"mage6.4.9.3.3.3",0.281409999999999,0.18725
"mage6.4.9.3.3.4",0.38948,0.27178
"mage6.4.9.3.3.5",0.358449999999999,0.1926
"mage6.4.9.3.3.6",0.21507,0.19046
"mage6.4.9.3.3.7",0.251449999999999,0.21293
"mage6.4.9.3.3.8",0.30174,0.51253
"mage6.4.9.3.3.9",0.361659999999999,0.55961
"mage6.5.8.4.4.1",0.0256800000000002,0.22577
"mage6.5.8.4.4.2",0,0
"mage6.5.8.4.4.3",0.46545,0.159430000000001
"mage6.5.8.4.4.4",0.64093,0.539280000000001
"mage6.5.8.4.4.5",0.47936,0.358450000000001
"mage6.5.8.4.4.6",0.0256800000000002,0.142310000000001
"mage6.5.8.4.4.7",0.0246099999999997,0.123050000000001
"mage6.5.8.4.4.8",0.10914,0.215070000000001
"mage6.11.12.5.5.1",0.17548,0.149799999999999
"mage6.11.12.5.5.2",0.57138,0
"mage6.11.12.5.5.3",0.525370000000001,0.21186
"mage6.11.12.5.5.4",0.582080000000001,0.44191
"mage6.11.12.5.5.5",0.42586,0.325279999999999
"mage6.11.12.5.5.6",0.497550000000001,0.42158
"mage6.11.12.5.5.7",0.518950000000001,0.65056
"mage6.11.12.5.5.8",0.474010000000001,0.64414
"mage6.11.12.5.5.9",0.31244,0.47615
"mage6.11.12.5.5.10",0,0.214
"mage6.11.12.5.5.11",0.376640000000001,0.592779999999999
"mage6.11.12.5.5.12",0.293180000000001,0.80892
"mage6.12.9.6.6.1",0,0.0834600000000001
"mage6.12.9.6.6.2",0.39162,0.15622
"mage6.12.9.6.6.3",0.49434,0.36915
"mage6.12.9.6.6.4",0.3959,0.32421
"mage6.12.9.6.6.5",0.37236,0.21614
"mage6.12.9.6.6.6",0.28034,0.2568
"mage6.12.9.6.6.7",0.0331700000000002,0.0973699999999996
"mage6.12.9.6.6.8",0.0695499999999998,0
"mage6.12.9.6.6.9",0.29746,0.38092
"mage6.14.5.7.7.1",0.25466,0.02675
"mage6.14.5.7.7.2",0.27499,0
"mage6.14.5.7.7.3",0.0567100000000001,0.19581
"mage6.14.5.7.7.4",0,0.21614
"mage6.14.5.7.7.5",0.273920000000001,0.19367
"mage6.19.7.8.8.1",0.45368,0.17976
"mage6.19.7.8.8.2",0.30816,0
"mage6.19.7.8.8.3",0.24396,0.178689999999999
"mage6.19.7.8.8.4",0.30388,0.30174
"mage6.19.7.8.8.5",0.0856000000000005,0.0427999999999998
"mage6.19.7.8.8.6",0.40018,0.18083
"mage6.19.7.8.8.7",0,0.26964
"mage6.22.2.9.9.1",0.30388,0.18404
"mage6.22.2.9.9.2",0,0
"mage6.24.10.10.10.1",0.21293,0
"mage6.24.10.10.10.2",0.20009,0.132680000000001
"mage6.24.10.10.10.3",0,0.0556399999999996
"mage6.24.10.10.10.4",0.10272,0.241820000000001
"mage6.24.10.10.10.5",0.21293,0.0609900000000008
"mage6.24.10.10.10.6",0.11342,0.32421
"mage6.24.10.10.10.7",0.12091,0.25787
"mage6.24.10.10.10.8",0.22042,0.176550000000001
"mage6.24.10.10.10.9",0.22149,0.126260000000001
"mage6.24.10.10.10.10",0.0374500000000001,0.16371
"mage6.24.18.11.11.1",0.13696,0.326350000000001
"mage6.24.18.11.11.2",0.112350000000001,0.346680000000001
"mage6.24.18.11.11.3",0.159430000000001,0.337050000000001
"mage6.24.18.11.11.4",0.0492200000000009,0.25038
"mage6.24.18.11.11.5",0.268570000000001,0.340260000000001
"mage6.24.18.11.11.6",0.2889,0.379850000000001
"mage6.24.18.11.11.7",0.391620000000001,0.0620600000000013
"mage6.24.18.11.11.8",0.477220000000001,0.0995100000000007
"mage6.24.18.11.11.9",0.48792,0.19046
"mage6.24.18.11.11.10",0,0.111280000000001
"mage6.24.18.11.11.11",0.41088,0.231120000000001
