"","slope","corr"
"mage6.24.18.11.11",0.283930746868463,0.964487562923
"mage6.28.9.12.12",0.404189900982738,0.892022529889027
"mage6.62.30.27.27",0.532617210345272,0.982295890257972
"mage6.98.13.37.37",0.223414044075126,0.916967364909222
"mage6.122.10.42.42",0.994792126925594,0.960273329963742
"mage6.217.8.63.63",0.365234405887501,0.915102040895896
"mage6.234.9.67.67",0.421626414498214,0.963514179183603
"mage6.812.9.88.88",0.255123028233333,0.952001589724051
"mage6.826.7.90.90",0.512407198329165,0.830281904587834
"mage6.973.29.107.107",0.287589162294295,0.988816210658192
"mage6.1003.11.108.108",0.454474307653273,0.961429097628667
"mage6.1429.7.112.112",0.271025927754166,0.900032997925715
"mage6.1539.10.125.125",0.539877945966369,0.986381840051771
"mage6.1991.12.132.132",0.478619685289781,0.979244416302284
"mage6.2028.8.136.136",0.3427202336125,0.832878882098855
"mage6.2204.9.175.175",0.487510543673215,0.965716069697252
"mage6.2228.11.179.179",0.418792579144345,0.894973726869118
"mage6.3514.9.194.194",0.617411081675,0.878405468434655
"mage7.1688.8.79.286",1.8399663570875,0.998427275906397
"mage7.1699.9.80.287",0.490923599611309,0.977900981711297
"mage7.1728.12.87.294",0.543238219515673,0.984879536424926
