,slope,corr
mage6.3514.9.194.194,0.617411082,0.878405468
mage7.1728.12.87.294,0.54323822,0.984879536
mage6.1539.10.125.125,0.539877946,0.98638184
mage6.62.30.27.27,0.53261721,0.98229589
mage6.826.7.90.90,0.512407198,0.830281905
mage7.1699.9.80.287,0.4909236,0.977900982
mage6.2204.9.175.175,0.487510544,0.96571607
mage6.1991.12.132.132,0.478619685,0.979244416
mage7.2254.8.115.322,-0.015078333,0.544664328
mage7.2070.7.99.306,-0.015687563,0.124529154
mage6.1973.7.130.130,-0.016126441,0.012616137
mage6.3505.8.193.193,-0.021927554,0.022410773
mage6.454.9.77.77,-0.022699142,0.916730837
mage6.2146.12.166.166,-0.023838313,0.373615061
mage7.1784.15.93.300,-0.025830312,0.676428813
mage6.4.9.3.3,-0.054697945,0.063654847
