,slope,corr
mage6.3514.9.194.194,0.617411082,0.878405468
mage7.1728.12.87.294,0.54323822,0.984879536
mage6.1539.10.125.125,0.539877946,0.98638184
mage6.62.30.27.27,0.53261721,0.98229589
mage6.826.7.90.90,0.512407198,0.830281905
mage7.1699.9.80.287,0.4909236,0.977900982
mage6.2204.9.175.175,0.487510544,0.96571607
mage6.1991.12.132.132,0.478619685,0.979244416
mage7.2254.8.115.322,-0.015078333,0.544664328
mage7.2070.7.99.306,-0.015687563,0.124529154
mage6.1973.7.130.130,-0.016126441,0.012616137
mage6.3505.8.193.193,-0.021927554,0.022410773
mage6.454.9.77.77,-0.022699142,0.916730837
mage6.2146.12.166.166,-0.023838313,0.373615061
mage7.1784.15.93.300,-0.025830312,0.676428813
mage6.4.9.3.3,-0.054697945,0.063654847
mW_WT.7433.9.463.463,0.70890002,0.973020079
mW_WT.7947.7.511.511,0.452272614,0.988205588
mW_WT.734.8.21.21,0.439362101,0.994676833
mW_WT.1198.7.130.130,0.43848921,0.942598848
mW_WT.5007.7.373.373,0.249491361,0.997342281
mW_WT.2787.7.306.306,0.223493162,0.989604629
mW_WT.1227.8.138.138,0.204542539,0.946895194
mW_WT.2614.11.292.292,0.194353351,0.846296104
mW_WT.2562.7.279.279,-0.024371439,0.432451111
mW_WT.2606.7.291.291,-0.026524375,0.007769303
mW_WT.7878.8.504.504,-0.033391581,0.327742053
mW_WT.983.8.48.48,-0.041090747,0.691416286
mW_WT.6767.10.434.434,-0.044001253,0.666805824
mW_WT.5130.12.398.398,-0.044175285,0.438600078
mW_WT.7419.7.459.459,-0.044186748,0.71852282
mW_WT.1211.12.134.134,-0.097563923,0.614158686
