 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,74.822,116.751,0,0.243,1.396,2.494,4.973,10.791,3.4e38
2,1,1,74.488,116.848,0,0.259,1.477,2.725,5.566,12.285,3.4e38
3,1,2,76.221,117.329,0,0.290,1.475,2.729,5.608,12.484,3.4e38
4,1,3,78.228,116.658,0,0.479,1.377,2.387,4.566,9.434,3.4e38
5,1,4,76.063,116.488,0,0.260,1.468,2.724,5.632,12.645,3.4e38
6,1,5,75.548,116.654,0,0.277,1.534,2.925,6.162,13.978,3.4e38
7,1,6,75.288,116.701,0,0.339,1.531,2.865,5.880,12.933,3.4e38
8,1,7,76.134,117.164,0,0.401,1.396,2.471,4.873,10.472,3.4e38
9,1,8,76.722,117.160,0,0.377,1.481,2.718,5.513,12.077,3.4e38
10,1,9,77.447,120.805,0,0.229,1.513,2.877,6.075,13.870,3.4e38
11,2,14,75.703,68.521,0,0.159,1.596,3.100,6.601,15.035,3.4e38
12,2,15,75.137,68.027,0,0.151,1.616,3.204,6.986,16.318,3.4e38
13,2,17,75.899,68.241,0,0.113,1.447,2.669,5.516,12.435,3.4e38
14,3,21,87.708,109.172,0,0.135,1.529,2.947,6.327,14.709,3.4e38
15,3,22,87.398,108.570,0,0.188,1.509,2.866,6.066,13.923,3.4e38
16,4,25,34.535,101.634,0,0.299,1.518,2.857,5.939,13.316,3.4e38
17,4,27,33.406,102.021,0,0.073,1.311,2.311,4.654,10.419,3.4e38
18,5,28,60.661,44.201,0,0.085,1.384,2.436,4.781,10.229,3.4e38
19,5,30,55.226,42.189,0,0.061,1.157,1.853,3.434,7.215,3.4e38
20,6,33,82.090,21.953,0,0.124,1.535,2.963,6.370,14.837,3.4e38
21,6,34,83.296,23.155,0,0.581,1.390,2.434,4.721,9.919,3.4e38
22,6,36,82.480,30.297,0,0.226,1.517,2.876,6.036,13.669,3.4e38
23,6,38,83.794,20.536,0,0.386,1.535,2.903,6.052,13.580,3.4e38
24,6,40,79.778,16.384,0,0.204,1.497,2.760,5.606,12.272,3.4e38
25,7,55,93.799,112.628,0,0.164,1.411,2.480,4.805,10.029,3.4e38
26,7,56,94.637,112.395,0,0.176,1.532,2.914,6.117,13.815,3.4e38
27,8,57,49.130,111.036,0,0.350,1.514,2.865,6.004,13.582,3.4e38
28,8,58,48.092,113.105,0,0.115,1.498,2.890,6.276,14.872,3.4e38
29,9,60,77.810,71.625,0,0.122,1.387,2.505,5.110,11.472,3.4e38
30,9,62,74.325,72.101,0,0.101,1.386,2.467,4.919,10.714,3.4e38
31,10,63,22.964,103.425,0,0.231,1.511,2.860,6.016,13.709,3.4e38
32,10,64,23.354,102.705,0,0.140,1.412,2.545,5.119,11.217,3.4e38
33,11,68,47.484,82.631,0,0.167,1.433,2.640,5.449,12.277,3.4e38
34,11,69,49.631,82.818,0,0.202,1.517,2.870,6.007,13.564,3.4e38
35,11,70,49.527,82.812,0,0.276,1.411,2.481,4.809,10.054,3.4e38
36,12,71,65.646,108.855,0,0.143,1.450,2.634,5.282,11.411,3.4e38
37,12,73,59.252,109.239,0,0.072,1.269,2.199,4.392,9.848,3.4e38
38,13,89,91.841,93.288,0,0.105,1.239,1.968,3.463,6.641,3.4e38
39,13,90,90.599,94.535,0,0.213,1.562,2.991,6.318,14.365,3.4e38
40,13,92,90.813,97.204,0,0.405,1.408,2.482,4.842,10.231,3.4e38
41,13,93,90.175,98.259,0,0.285,1.488,2.757,5.654,12.532,3.4e38
42,14,94,69.045,18.458,0,0.330,1.448,2.623,5.261,11.412,3.4e38
