"","Trajectory","Frame","x","y","z"
"1","1",1,32.37,45,1
"2","1",2,31.99,45.02,1
"3","2",1,33.2,53.73,1
"4","2",2,33.64,53.74,1
"5","2",3,33.18,53.72,1
"6","2",4,34.28,54.12,1
"7","2",5,33.87,54.57,1
"8","2",6,34.25,54.74,1
"9","2",7,34.6,54.94,1
"10","2",8,34.6,54.89,1
"11","2",9,34.23,54.01,1
"12","3",4,31.71,44.89,1
"13","3",5,30.9,44.7,1
"14","3",6,30.89,44.79,1
"15","3",7,30.73,45,1
"16","3",8,30.84,45.18,1
"17","4",10,32.17,46.99,1
"18","4",11,32.63,46.87,1
"19","5",13,32.8,46.37,1
"20","5",14,33.06,47.64,1
"21","5",15,32.33,47.17,1
"22","5",16,32.01,46.99,1
"23","6",18,32.33,48,1
"24","6",19,31.96,48.62,1
"25","6",20,30.24,46.75,1
"26","7",23,31.97,47.76,1
"27","7",24,30.99,47.2,1
"28","7",25,29.96,47.28,1
"29","7",26,32.07,48.15,1
"30","7",27,30.32,47.1,1
"31","8",35,31.31,48.16,1
"32","8",36,30.79,48.82,1
"33","8",37,31.81,49.25,1
"34","8",38,31.79,49.76,1
"35","8",39,30.89,49.9,1
"36","8",40,32.03,50.15,1
"37","8",41,32.89,47,1
"38","8",42,32.22,47.03,1
"39","8",43,31.26,48.13,1
"40","8",44,30.76,49.04,1
"41","8",45,30.24,49.7,1
"42","8",46,31.78,50.25,1
"43","9",46,38.04,59.75,1
"44","9",47,37.12,60.93,1
"45","9",48,38.03,59.38,1
"46","10",48,31.83,49.25,1
"47","10",49,31.8,48.84,1
"48","10",50,30.18,47.68,1
"49","10",51,31.75,46.98,1
"50","10",52,33.8,48.74,1
"51","10",53,34.17,46.81,1
"52","10",54,33.82,45.75,1
"53","10",55,33.77,46.68,1
"54","10",56,33.94,47.19,1
"55","10",57,34.14,46.31,1
"56","10",58,34.26,46.77,1
"57","10",59,33.96,46.62,1
"58","11",74,32.78,51.97,1
"59","11",75,32.68,52.83,1
"60","11",76,32.8,52.67,1
"61","11",77,32.86,52.77,1
"62","11",78,32.97,52.66,1
"63","11",79,32.74,51.23,1
"64","11",80,32.42,52.12,1
"65","11",81,32.76,52.23,1
"66","11",82,32.68,52.8,1
"67","11",83,32.74,53.94,1
"68","11",84,32.31,54.15,1
"69","12",76,38.61,59.13,1
"70","12",77,37.83,58.96,1
"71","13",86,32.79,53.27,1
"72","13",87,32.82,53.16,1
"73","14",89,32.84,52.94,1
"74","14",90,32.9,52.81,1
"75","14",91,32.07,52.71,1
"76","14",92,32.05,52.8,1
"77","15",94,31.3,51.8,1
"78","15",95,31.14,51.71,1
"79","15",96,32.19,51.17,1
"80","16",99,33.05,52.31,1
"81","16",100,32.9,51.7,1
"82","16",101,32.28,51.78,1
"83","16",102,32.21,52.73,1
"84","16",103,32.23,51.67,1
"85","17",107,32.28,51.82,1
"86","17",108,32.82,51.87,1
"87","17",109,32.91,52.63,1
"88","17",110,33.16,52.78,1
"89","17",111,33.8,52.73,1
"90","17",112,33.25,52.16,1
"91","17",113,33.01,52.66,1
"92","18",116,33.09,51.25,1
"93","18",117,32.18,51.41,1
"94","18",118,32.27,51.63,1
"95","18",119,32.9,52.77,1
"96","19",121,33.84,52.41,1
"97","19",122,33.26,53.14,1
"98","19",123,33.83,52.22,1
"99","19",124,32.92,52.84,1
"100","19",125,32.81,51.88,1
"101","19",126,33.12,52.17,1
"102","19",127,32.87,51.75,1
"103","19",128,32.83,51.15,1
"104","19",129,33.04,51.35,1
"105","19",130,33.27,51.83,1
"106","20",132,33.81,52.14,1
"107","20",133,34.67,52.06,1
"108","20",134,34.12,52.95,1
"109","20",135,33.19,52.79,1
"110","20",136,33.69,52.77,1
"111","21",138,33.16,53.03,1
"112","21",139,33.2,52.18,1
"113","21",140,32.9,52.63,1
"114","22",142,33.13,51.76,1
"115","22",143,32.91,52.28,1
"116","22",144,32.89,52.34,1
"117","22",145,32.69,51.72,1
"118","22",146,32.22,52.31,1
"119","22",147,32.21,52.74,1
"120","22",148,32.03,53.04,1
"121","23",148,79.34,53.19,1
"122","23",149,79.17,51.7,1
"123","24",150,33.06,52.78,1
"124","24",151,33.78,52.95,1
"125","24",152,33.23,53.17,1
"126","24",153,33.05,52.23,1
"127","24",154,32.97,52.74,1
"128","24",155,32.81,52.73,1
"129","24",156,32.9,53.28,1
"130","25",151,79.84,51.76,1
"131","25",152,80.79,53.21,1
"132","25",153,79.12,53.82,1
"133","25",154,79.68,52.67,1
"134","26",161,33.18,51.18,1
"135","26",162,33.15,51.61,1
"136","26",163,34.06,52.24,1
"137","26",164,32.97,52.35,1
"138","26",165,33.77,52.68,1
"139","27",168,34.05,52.37,1
"140","27",169,33.79,52.37,1
"141","27",170,33.23,52.07,1
"142","27",171,33.05,51.87,1
"143","27",172,33.32,52.69,1
"144","28",168,82.65,48.96,1
"145","28",169,81.94,48.88,1
"146","29",177,34.68,51.95,1
"147","29",178,34.11,52.76,1
"148","29",179,33.93,52.11,1
"149","29",180,33.83,51.95,1
"150","30",192,96.25,29.24,1
"151","30",193,96.18,29.33,1
"152","31",235,21.76,45.06,1
"153","31",236,19.94,47.35,1
"154","31",237,20.12,49.93,1
"155","31",238,20.2,50.07,1
"156","31",239,20.82,48.87,1
"157","31",240,19.77,47.99,1
"158","32",253,35.88,47.74,1
"159","32",254,35.65,47.07,1
"160","32",255,36.65,47.2,1
"161","33",257,36.83,48.28,1
"162","33",258,34.72,48.86,1
"163","34",260,33.83,49.19,1
"164","34",261,33.64,49.86,1
"165","35",270,32.72,49.81,1
"166","35",271,31.92,49.68,1
"167","35",272,31.69,50.15,1
"168","35",273,32.22,49.02,1
"169","35",274,32.94,49.73,1
"170","36",276,34.15,50.18,1
"171","36",277,33.83,49.77,1
"172","37",281,33.46,50.1,1
"173","37",282,34,51.17,1
"174","38",284,34.88,50.17,1
"175","38",285,33.67,48.23,1
"176","38",286,34.14,49.36,1
"177","38",287,34.44,49.12,1
"178","39",299,36.3,49.92,1
"179","39",300,35.93,50.66,1
"180","39",301,35.67,49.13,1
"181","39",302,35.91,49.76,1
"182","39",303,35.74,49.71,1
"183","39",304,35.95,49.69,1
"184","39",305,35.87,50.23,1
"185","39",306,36.05,49.78,1
"186","39",307,35.87,50.26,1
"187","39",308,35.98,49.88,1
"188","39",309,36.78,50.72,1
"189","39",310,36.19,50.28,1
"190","39",311,36.02,50.02,1
"191","39",312,36.76,50.3,1
"192","40",314,37.06,49.96,1
"193","40",315,36.13,50.22,1
"194","40",316,36.24,50.2,1
"195","40",317,36.77,50.25,1
"196","40",318,36,50.2,1
"197","40",319,35.26,50.25,1
"198","40",320,35.17,51.05,1
"199","40",321,35.33,50.01,1
"200","40",322,35.81,50.35,1
"201","40",323,35.09,50.23,1
"202","40",324,35,50.31,1
"203","41",327,36.12,49.08,1
"204","41",328,37.75,51.1,1
"205","42",330,37.1,52.68,1
"206","42",331,38.13,53.94,1
"207","43",345,35.04,45.83,1
"208","43",346,33.97,46.4,1
"209","43",347,34.12,45.87,1
"210","44",349,33.22,47.16,1
"211","44",350,33.65,47.27,1
"212","45",352,33.87,46.21,1
"213","45",353,33.66,46.16,1
"214","45",354,33.13,45.01,1
"215","45",355,34.19,45.13,1
"216","46",482,34.69,50.93,1
"217","46",483,34.08,50.3,1
"218","46",484,34.4,49.13,1
"219","47",491,33.04,47.47,1
"220","47",492,34.18,47.19,1
"221","48",510,35.03,44.41,1
"222","48",511,35.84,46.85,1
"223","49",522,38.19,53.72,1
"224","49",523,37.74,52.75,1
"225","49",524,36.66,52.07,1
"226","50",1377,34.31,48.05,1
"227","50",1378,34.66,47.84,1
"228","51",1380,34.08,46.68,1
"229","51",1381,34.92,46.92,1
"230","51",1382,34.15,46.77,1
"231","51",1383,34.9,47.27,1
"232","51",1384,35.27,47.11,1
"233","51",1385,34.82,47.3,1
"234","51",1386,34.84,47.34,1
"235","51",1387,34.71,47.99,1
"236","51",1388,34.83,47.77,1
"237","52",1390,34.26,48.1,1
"238","52",1391,33.81,47.07,1
"239","52",1392,34.95,47.3,1
"240","52",1393,34.91,46.7,1
"241","52",1394,34.88,47.88,1
"242","52",1395,35.26,47.25,1
"243","52",1396,34.79,47.15,1
"244","52",1397,34.75,46.73,1
"245","52",1398,34.92,46.8,1
"246","52",1399,34.86,47.17,1
"247","53",1402,34.25,47.23,1
"248","53",1403,33.98,47.4,1
"249","53",1404,33.99,47.76,1
"250","53",1405,33.99,47.26,1
"251","53",1406,33.69,47.2,1
"252","53",1407,34.01,47.37,1
"253","54",1409,33.38,46.97,1
"254","54",1410,34.35,47.07,1
"255","55",1413,34.2,48.29,1
"256","55",1414,33.81,47.33,1
"257","55",1415,34.25,47.78,1
"258","55",1416,34.61,47.2,1
"259","55",1417,34.05,47.75,1
"260","55",1418,34.18,47.33,1
"261","55",1419,34.7,47.22,1
"262","56",1425,34.77,46.87,1
"263","56",1426,33.92,46.81,1
"264","57",1434,33.73,47.91,1
"265","57",1435,33.22,47.7,1
"266","57",1436,33.82,47.78,1
"267","57",1437,33.71,47.99,1
"268","57",1438,34.08,47.62,1
"269","57",1439,34.99,47.97,1
"270","57",1440,34.64,47.29,1
"271","57",1441,34.18,47.7,1
"272","58",1455,35.1,45.73,1
"273","58",1456,34.28,45.87,1
"274","58",1457,35.2,46.15,1
"275","58",1458,35.28,46.03,1
"276","59",1462,32.66,48.02,1
"277","59",1463,31.94,49.69,1
"278","59",1464,34.12,49.21,1
"279","59",1465,34.27,49.92,1
"280","60",1470,32.76,50.08,1
"281","60",1471,32.25,49.25,1
"282","60",1472,31.96,50.63,1
"283","60",1473,31.2,50.84,1
"284","61",1475,33.77,50.85,1
"285","61",1476,33.71,50.79,1
"286","62",1479,32.87,50.32,1
"287","62",1480,32.69,51.96,1
"288","63",1490,34.77,51.26,1
"289","63",1491,34.18,51.71,1
"290","64",1501,33.06,50.12,1
"291","64",1502,32.29,50.79,1
"292","64",1503,32.73,50.73,1
"293","64",1504,33.18,51.12,1
"294","64",1505,32.85,50.78,1
"295","64",1506,33.68,51.87,1
"296","64",1507,32.72,51.77,1
"297","64",1508,32.81,51.66,1
"298","64",1509,32.93,51.11,1
"299","65",1514,33.31,50.02,1
"300","65",1515,34.06,49.06,1
"301","66",1520,35.21,47.98,1
"302","66",1521,36.11,48.16,1
"303","66",1522,37,47.37,1
"304","67",1524,34.36,49.03,1
"305","67",1525,34.14,48.29,1
"306","68",1527,33.1,48.31,1
"307","68",1528,32.86,48.36,1
"308","68",1529,32.94,48.35,1
"309","68",1530,32.78,49.62,1
"310","69",1533,33.28,50.25,1
"311","69",1534,34.3,49.14,1
"312","70",1537,36.1,48.99,1
"313","70",1538,37.28,49.95,1
"314","71",1559,34.21,53.23,1
"315","71",1560,35.16,53.11,1
"316","72",1562,35.81,52.14,1
"317","72",1563,36.86,51.2,1
"318","72",1564,36.82,51.27,1
"319","73",1586,34.11,51.81,1
"320","73",1587,34.71,48.82,1
"321","74",1595,33.35,50.9,1
"322","74",1596,33.04,51.71,1
"323","75",1599,33.98,52.65,1
"324","75",1600,33.82,51.72,1
"325","76",1604,33.98,51.76,1
"326","76",1605,34.98,54.02,1
"327","77",1608,36,53.69,1
"328","77",1609,34.76,52.89,1
"329","77",1610,33.75,53.24,1
"330","77",1611,33.23,52.21,1
"331","77",1612,34.08,52.39,1
"332","77",1613,35.12,52.28,1
"333","77",1614,35.28,51.88,1
"334","77",1615,34.86,51.9,1
"335","77",1616,34.75,51.27,1
"336","78",1685,37.12,56.28,1
"337","78",1686,38.93,56.73,1
"338","79",1688,40.16,55.24,1
"339","79",1689,40.02,55.3,1
"340","79",1690,39.17,54.71,1
"341","79",1691,38.76,55.27,1
"342","79",1692,38.04,56.92,1
"343","79",1693,37.37,58.84,1
"344","79",1694,37.31,58.99,1
"345","79",1695,36.86,59.69,1
"346","80",1699,37.95,61.17,1
"347","80",1700,38.94,60.35,1
"348","80",1701,40.9,60.28,1
"349","80",1702,40.85,60.39,1
"350","80",1703,41.8,60.32,1
"351","80",1704,42.14,61.01,1
"352","80",1705,41.9,60.83,1
"353","80",1706,42.23,59.13,1
"354","80",1707,42.16,59.72,1
"355","81",1709,41.04,61.28,1
"356","81",1710,40.74,61.24,1
"357","81",1711,41.03,61.39,1
"358","81",1712,41.06,61.21,1
"359","81",1713,40.93,61.22,1
"360","82",1716,40.85,62.3,1
"361","82",1717,40.34,62.11,1
"362","82",1718,41.94,61.28,1
"363","83",1720,40.69,60.89,1
"364","83",1721,40.09,61.25,1
"365","84",1722,42.89,45.76,1
"366","84",1723,42.86,46.92,1
"367","84",1724,42.2,46.82,1
"368","84",1725,42.15,46.91,1
"369","84",1726,42.24,46.79,1
"370","85",1724,37.28,59.95,1
"371","85",1725,37.26,59.73,1
"372","86",1727,37.2,61.05,1
"373","86",1728,35.76,60.74,1
"374","86",1729,35.87,60.7,1
"375","86",1730,35.37,61.01,1
"376","87",1728,41.81,45.99,1
"377","87",1729,42.23,45.23,1
"378","87",1730,43.21,45.86,1
"379","87",1731,43.27,45.22,1
"380","87",1732,41.88,45.13,1
"381","87",1733,42.71,45.18,1
"382","87",1734,43.12,44.32,1
"383","87",1735,43.87,45.72,1
"384","87",1736,44.09,46.3,1
"385","87",1737,43.9,47.66,1
"386","87",1738,43.3,49.12,1
"387","87",1739,41.29,49.98,1
"388","88",1741,41.23,50.85,1
"389","88",1742,42.05,50.13,1
"390","88",1743,41.85,49.16,1
"391","88",1744,40.2,48.31,1
"392","88",1745,40.16,48.2,1
"393","89",1747,39.92,47.92,1
"394","89",1748,40.72,48.86,1
"395","89",1749,40.93,49.73,1
"396","89",1750,41.21,49.76,1
"397","89",1751,41.07,48.79,1
"398","89",1752,41.13,49.18,1
"399","89",1753,41.2,49.18,1
"400","89",1754,39.67,48.8,1
"401","89",1755,39.14,49.84,1
"402","90",1764,39.83,49.21,1
"403","90",1765,36.99,48.56,1
"404","90",1766,35.19,47.95,1
"405","90",1767,35.29,48.97,1
"406","90",1768,35.25,50.88,1
"407","91",1770,34.75,50.71,1
"408","91",1771,34.16,50.87,1
"409","91",1772,34.17,51.31,1
"410","91",1773,34.23,51.8,1
"411","91",1774,33.94,50.6,1
"412","91",1775,33.38,49,1
"413","91",1776,33.71,49.92,1
"414","91",1777,32.9,50.63,1
"415","91",1778,32.96,49.64,1
"416","92",1780,31.89,50.86,1
"417","92",1781,32.77,50.84,1
"418","92",1782,32.24,52.23,1
"419","93",1784,31.89,52.31,1
"420","93",1785,31.83,51.36,1
"421","93",1786,32.14,50.8,1
"422","93",1787,32.9,51.23,1
"423","93",1788,33.14,52.02,1
"424","93",1789,32.67,51.86,1
"425","93",1790,32.1,51.62,1
"426","93",1791,32.34,51.11,1
"427","93",1792,32.19,51.11,1
"428","93",1793,32.21,50.96,1
"429","93",1794,32.66,50.89,1
"430","93",1795,32.22,51.28,1
"431","93",1796,32.78,51.09,1
"432","93",1797,32.33,50.13,1
"433","93",1798,32.12,49.91,1
"434","94",1802,33.18,49.36,1
"435","94",1803,33.18,49.66,1
"436","94",1804,32.68,50.89,1
"437","95",1806,32.19,49.67,1
"438","95",1807,32.93,49.65,1
"439","95",1808,33.34,50.04,1
"440","95",1809,33.93,51.31,1
"441","95",1810,35,51.67,1
"442","96",1820,36.78,50.16,1
"443","96",1821,35.99,50.31,1
"444","97",1823,34.9,49.93,1
"445","97",1824,35.05,50.24,1
"446","98",1826,35.66,50.93,1
"447","98",1827,34.18,50.29,1
"448","98",1828,33.22,50.98,1
"449","99",2070,42.13,48.24,1
"450","99",2071,42.18,48.64,1
